"Zeit","anomalies"
1872-09-01,-0.087
1872-10-01,-0.173
1872-11-01,-0.74
1872-12-01,-1.012
1873-01-01,0.222
1873-02-01,-0.648
1873-03-01,-0.386
1873-04-01,-1.149
1873-05-01,-0.861
1873-06-01,0.129
1873-07-01,0.218
1873-08-01,0.108
1873-09-01,-0.627
1873-10-01,-0.584
1873-11-01,-0.902
1873-12-01,0.068
1874-01-01,0.727
1874-02-01,-0.239
1874-03-01,-1.028
1874-04-01,-0.769
1874-05-01,-0.664
1874-06-01,-0.088
1874-07-01,0.062
1874-08-01,-0.23
1874-09-01,0.167
1874-10-01,0.024
1874-11-01,-0.73
1874-12-01,-0.381
1875-01-01,-1.603
1875-02-01,-2.099
1875-03-01,-1.821
1875-04-01,-1.243
1875-05-01,-0.053
1875-06-01,0.261
1875-07-01,-0.165
1875-08-01,-0.138
1875-09-01,-0.638
1875-10-01,-0.966
1875-11-01,-1.484
1875-12-01,-0.956
1876-01-01,-0.16
1876-02-01,-0.105
1876-03-01,-0.778
1876-04-01,-0.323
1876-05-01,-0.949
1876-06-01,0.363
1876-07-01,0.274
1876-08-01,0.192
1876-09-01,-0.243
1876-10-01,-0.509
1876-11-01,-1.437
1876-12-01,-2.086
1877-01-01,-0.362
1877-02-01,-0.074
1877-03-01,-0.945
1877-04-01,-1.027
1877-05-01,-0.892
1877-06-01,0.103
1877-07-01,0.202
1877-08-01,0.288
1877-09-01,-0.281
1877-10-01,-0.679
1877-11-01,0.207
1877-12-01,0.353
1878-01-01,-0.357
1878-02-01,0.96
1878-03-01,0.913
1878-04-01,0.571
1878-05-01,-0.309
1878-06-01,0.436
1878-07-01,0.13
1878-08-01,0.28
1878-09-01,0.292
1878-10-01,0.267
1878-11-01,-0.125
1878-12-01,-1.103
1879-01-01,-0.509
1879-02-01,-0.223
1879-03-01,-0.233
1879-04-01,-0.47
1879-05-01,-0.265
1879-06-01,-0.33
1879-07-01,-0.226
1879-08-01,-0.244
1879-09-01,-0.331
1879-10-01,0.095
1879-11-01,-1.132
1879-12-01,-1.498
1880-01-01,0.311
1880-02-01,-0.337
1880-03-01,-0.61
1880-04-01,-0.261
1880-05-01,-0.008
1880-06-01,-0.196
1880-07-01,-0.143
1880-08-01,-0.059
1880-09-01,-0.126
1880-10-01,-0.984
1880-11-01,-1.462
1880-12-01,-0.977
1881-01-01,-1.426
1881-02-01,-0.772
1881-03-01,-0.894
1881-04-01,-0.521
1881-05-01,-0.051
1881-06-01,-0.445
1881-07-01,0.019
1881-08-01,0.081
1881-09-01,-0.123
1881-10-01,-0.73
1881-11-01,-0.78
1881-12-01,-0.024
1882-01-01,0.979
1882-02-01,0.368
1882-03-01,0.283
1882-04-01,-0.667
1882-05-01,-0.757
1882-06-01,-0.521
1882-07-01,-0.373
1882-08-01,-0.058
1882-09-01,-0.223
1882-10-01,-0.579
1882-11-01,-1.061
1882-12-01,-1.098
1883-01-01,-1.447
1883-02-01,-1.13
1883-03-01,-1.434
1883-04-01,-0.724
1883-05-01,-0.507
1883-06-01,-0.051
1883-07-01,-0.171
1883-08-01,-0.352
1883-09-01,-0.347
1883-10-01,-0.432
1883-11-01,-0.635
1883-12-01,-0.406
1884-01-01,-0.616
1884-02-01,-0.465
1884-03-01,-1.059
1884-04-01,-1.246
1884-05-01,-0.854
1884-06-01,-0.766
1884-07-01,-0.615
1884-08-01,-0.677
1884-09-01,-0.555
1884-10-01,-0.54
1884-11-01,-1.366
1884-12-01,-0.694
1885-01-01,-1.625
1885-02-01,-0.853
1885-03-01,-0.969
1885-04-01,-0.773
1885-05-01,-1.005
1885-06-01,-0.605
1885-07-01,-0.161
1885-08-01,-0.701
1885-09-01,-0.594
1885-10-01,-0.876
1885-11-01,-0.787
1885-12-01,-0.08
1886-01-01,-1.271
1886-02-01,-1.347
1886-03-01,-1.222
1886-04-01,-0.336
1886-05-01,-0.279
1886-06-01,-0.468
1886-07-01,-0.124
1886-08-01,-0.214
1886-09-01,-0.2
1886-10-01,-0.342
1886-11-01,-0.674
1886-12-01,-0.245
1887-01-01,-1.106
1887-02-01,-0.823
1887-03-01,-0.633
1887-04-01,-0.677
1887-05-01,-0.043
1887-06-01,-0.4
1887-07-01,-0.09
1887-08-01,-0.561
1887-09-01,-0.062
1887-10-01,-1.012
1887-11-01,-0.536
1887-12-01,-0.688
1888-01-01,-1.477
1888-02-01,-1.23
1888-03-01,-1.616
1888-04-01,-0.255
1888-05-01,-0.606
1888-06-01,-0.403
1888-07-01,-0.347
1888-08-01,-0.442
1888-09-01,-0.272
1888-10-01,-0.472
1888-11-01,-0.716
1888-12-01,-0.599
1889-01-01,-0.675
1889-02-01,-0.725
1889-03-01,-0.516
1889-04-01,0.107
1889-05-01,0.212
1889-06-01,0.057
1889-07-01,-0.173
1889-08-01,-0.13
1889-09-01,-0.516
1889-10-01,-0.427
1889-11-01,-0.96
1889-12-01,-0.002
1890-01-01,-0.08
1890-02-01,-0.229
1890-03-01,-0.496
1890-04-01,-0.062
1890-05-01,-0.412
1890-06-01,-0.261
1890-07-01,-0.127
1890-08-01,-0.138
1890-09-01,-0.145
1890-10-01,-0.44
1890-11-01,-0.831
1890-12-01,-0.684
1891-01-01,-0.923
1891-02-01,-0.907
1891-03-01,-0.784
1891-04-01,-0.707
1891-05-01,-0.464
1891-06-01,-0.411
1891-07-01,-0.258
1891-08-01,-0.293
1891-09-01,0.053
1891-10-01,-0.445
1891-11-01,-1.228
1891-12-01,0.484
1892-01-01,-0.819
1892-02-01,-0.069
1892-03-01,-1.252
1892-04-01,-0.749
1892-05-01,-0.541
1892-06-01,-0.147
1892-07-01,-0.296
1892-08-01,-0.245
1892-09-01,0.058
1892-10-01,-0.288
1892-11-01,-1.053
1892-12-01,-1.608
1893-01-01,-2.682
1893-02-01,-1.888
1893-03-01,-0.708
1893-04-01,-0.601
1893-05-01,-0.786
1893-06-01,-0.22
1893-07-01,-0.056
1893-08-01,-0.165
1893-09-01,-0.23
1893-10-01,-0.104
1893-11-01,-0.545
1893-12-01,-0.315
1894-01-01,-0.654
1894-02-01,-0.241
1894-03-01,-0.003
1894-04-01,-0.181
1894-05-01,-0.188
1894-06-01,-0.308
1894-07-01,-0.061
1894-08-01,-0.107
1894-09-01,-0.433
1894-10-01,-0.342
1894-11-01,-0.58
1894-12-01,-0.397
1895-01-01,-1.248
1895-02-01,-1.803
1895-03-01,-0.819
1895-04-01,-0.227
1895-05-01,-0.221
1895-06-01,-0.293
1895-07-01,-0.329
1895-08-01,-0.286
1895-09-01,0.127
1895-10-01,-0.385
1895-11-01,-0.367
1895-12-01,-0.366
1896-01-01,-0.33
1896-02-01,-0.273
1896-03-01,-1.012
1896-04-01,-0.786
1896-05-01,-0.065
1896-06-01,0.172
1896-07-01,0.017
1896-08-01,-0.135
1896-09-01,-0.162
1896-10-01,-0.019
1896-11-01,-1.198
1896-12-01,-0.261
1897-01-01,-0.611
1897-02-01,-0.358
1897-03-01,-0.978
1897-04-01,-0.178
1897-05-01,0.237
1897-06-01,-0.126
1897-07-01,0.122
1897-08-01,0.077
1897-09-01,0.272
1897-10-01,-0.094
1897-11-01,-0.734
1897-12-01,-0.858
1898-01-01,0.496
1898-02-01,-0.429
1898-03-01,-1.75
1898-04-01,-0.645
1898-05-01,-0.327
1898-06-01,-0.162
1898-07-01,-0.147
1898-08-01,0.104
1898-09-01,-0.006
1898-10-01,-0.538
1898-11-01,-0.382
1898-12-01,-0.075
1899-01-01,0.21
1899-02-01,-0.921
1899-03-01,-1.104
1899-04-01,-0.253
1899-05-01,-0.305
1899-06-01,-0.414
1899-07-01,-0.064
1899-08-01,-0.091
1899-09-01,0.134
1899-10-01,0.081
1899-11-01,0.66
1899-12-01,-0.964
1900-01-01,-0.561
1900-02-01,-0.718
1900-03-01,-0.499
1900-04-01,-0.426
1900-05-01,-0.102
1900-06-01,-0.006
1900-07-01,-0.168
1900-08-01,0.086
1900-09-01,-0.066
1900-10-01,0.539
1900-11-01,-0.315
1900-12-01,0.373
1901-01-01,-0.126
1901-02-01,-0.672
1901-03-01,0.083
1901-04-01,0.208
1901-05-01,-0.087
1901-06-01,0.239
1901-07-01,0.343
1901-08-01,0.192
1901-09-01,-0.191
1901-10-01,-0.097
1901-11-01,-0.516
1901-12-01,-0.617
1902-01-01,0.341
1902-02-01,0.01
1902-03-01,-0.295
1902-04-01,-0.686
1902-05-01,-0.579
1902-06-01,-0.433
1902-07-01,-0.467
1902-08-01,-0.221
1902-09-01,-0.428
1902-10-01,-0.582
1902-11-01,-0.867
1902-12-01,-1.093
1903-01-01,0.01
1903-02-01,0.286
1903-03-01,-0.189
1903-04-01,-0.499
1903-05-01,-0.571
1903-06-01,-0.614
1903-07-01,-0.531
1903-08-01,-0.406
1903-09-01,-0.371
1903-10-01,-0.476
1903-11-01,-0.639
1903-12-01,-0.73
1904-01-01,-0.767
1904-02-01,-0.499
1904-03-01,-0.887
1904-04-01,-0.69
1904-05-01,-0.434
1904-06-01,-0.466
1904-07-01,-0.539
1904-08-01,-0.299
1904-09-01,-0.489
1904-10-01,-0.211
1904-11-01,-0.176
1904-12-01,-0.388
1905-01-01,-0.572
1905-02-01,-1.538
1905-03-01,-0.627
1905-04-01,-0.915
1905-05-01,-0.357
1905-06-01,-0.133
1905-07-01,-0.101
1905-08-01,-0.112
1905-09-01,0.042
1905-10-01,-0.332
1905-11-01,0.227
1905-12-01,0.15
1906-01-01,0.113
1906-02-01,-0.674
1906-03-01,-0.63
1906-04-01,0.167
1906-05-01,0.04
1906-06-01,0.047
1906-07-01,-0.122
1906-08-01,-0.025
1906-09-01,-0.123
1906-10-01,-0.086
1906-11-01,-0.415
1906-12-01,0.152
1907-01-01,-0.623
1907-02-01,-0.965
1907-03-01,-0.541
1907-04-01,-1.013
1907-05-01,-1.016
1907-06-01,-0.732
1907-07-01,-0.407
